Potential (V),Current (µA)
-1,7.875
-0.995,8.10625
-0.99,7.6625
-0.985,7.25625
-0.98,6.92146
-0.975,6.49521
-0.97,6.15498
-0.965,5.84161
-0.96,5.55241
-0.955,5.28396
-0.95,5.03528
-0.945,4.80495
-0.94,4.59275
-0.935,4.39608
-0.93,4.21431
-0.925,4.04943
-0.92,3.89968
-0.915,3.76134
-0.91,3.63837
-0.905,3.53176
-0.9,3.4385
-0.895,3.35925
-0.89,3.29378
-0.885,3.24681
-0.88,3.22205
-0.875,3.21169
-0.87,3.22689
-0.865,3.26648
-0.86,3.32741
-0.855,3.4119
-0.85,3.51285
-0.845,3.63147
-0.84,3.76272
-0.835,3.89394
-0.83,4.01304
-0.825,4.10657
-0.82,4.16025
-0.815,4.1635
-0.81,4.10652
-0.805,3.98769
-0.8,3.81721
-0.795,3.60444
-0.79,3.36231
-0.785,3.11637
-0.78,2.88166
-0.775,2.67633
-0.77,2.50517
-0.765,2.372
-0.76,2.26989
-0.755,2.19497
-0.75,2.14104
-0.745,2.10081
-0.74,2.07078
-0.735,2.04811
-0.73,2.02838
-0.725,2.01088
-0.72,1.99456
-0.715,1.98214
-0.71,1.97208
-0.705,1.96201
-0.7,1.9553
-0.695,1.94862
-0.69,1.94462
-0.685,1.94153
-0.68,1.94091
-0.675,1.93758
-0.67,1.93558
-0.665,1.93339
-0.66,1.93374
-0.655,1.93609
-0.65,1.94199
-0.645,1.9474
-0.64,1.95276
-0.635,1.9556
-0.63,1.96158
-0.625,1.96664
-0.62,1.97619
-0.615,1.98715
-0.61,1.99976
-0.605,2.01261
-0.6,2.02868
-0.595,2.04827
-0.59,2.0744
-0.585,2.10977
-0.58,2.16326
-0.575,2.23268
-0.57,2.32321
-0.565,2.44096
-0.56,2.59862
-0.555,2.80728
-0.55,3.07903
-0.545,3.43387
-0.54,3.88845
-0.535,4.4457
-0.53,5.11458
-0.525,5.89443
-0.52,6.7826
-0.515,7.754
-0.51,8.79172
-0.505,9.86859
-0.5,10.9446
-0.495,11.9846
-0.49,12.9491
-0.485,13.7831
-0.48,14.4312
-0.475,14.8093
-0.47,14.8523
-0.465,14.4898
-0.46,13.685
-0.455,12.4699
-0.45,10.9414
-0.445,9.25955
-0.44,7.61223
-0.435,6.15933
-0.43,5.00812
-0.425,4.18523
-0.42,3.64943
-0.415,3.32936
-0.41,3.15235
-0.405,3.05625
-0.4,3.01402
-0.395,3.00974
-0.39,3.04397
-0.385,3.11986
-0.38,3.24773
-0.375,3.44023
-0.37,3.72064
-0.365,4.10276
-0.36,4.62468
-0.355,5.32589
-0.35,6.26312
-0.345,7.4849
-0.34,9.03393
-0.335,10.952
-0.33,13.25
-0.325,15.8991
-0.32,18.8668
-0.315,22.044
-0.31,25.2444
-0.305,28.2756
-0.3,30.9864
-0.295,33.2847
-0.29,35.0547
-0.285,36.1758
-0.28,36.5019
-0.275,35.8255
-0.27,33.9501
-0.265,30.9164
-0.26,27.0103
-0.255,22.686
-0.25,18.4365
-0.245,14.6712
-0.24,11.6117
-0.235,9.2832
-0.23,7.55252
-0.225,6.29602
-0.22,5.38983
-0.215,4.73528
-0.21,4.27673
-0.205,3.9579
-0.2,3.74754
-0.195,3.61339
-0.19,3.53285
-0.185,3.49356
-0.18,3.48003
-0.175,3.48485
-0.17,3.50457
-0.165,3.53011
-0.16,3.56437
-0.155,3.6086
-0.15,3.66399
-0.145,3.72841
-0.14,3.802
-0.135,3.88723
-0.13,3.98274
-0.125,4.09361
-0.12,4.21458
-0.115,4.35471
-0.11,4.50749
-0.105,4.67814
-0.1,4.8671
-0.095,5.07522
-0.09,5.30839
-0.085,5.56734
-0.08,5.85146
-0.075,6.16315
-0.07,6.49724
-0.065,6.86166
-0.06,7.23985
-0.055,7.62056
-0.05,7.99727
-0.045,8.35346
-0.04,8.68412
-0.035,8.97497
-0.03,9.21025
-0.025,9.38084
-0.02,9.46585
-0.015,9.45
-0.01,9.33125
-0.005,9.1125
0,8.775
